Latitude,Longitude,Titulo
-13.188863,-60.8289168,Distribuidora do NEGO
-12.7145392,-60.1268732,🥇RG Distribuidora de Cimento
-11.6879335,-61.1599387,Max distribuidora e marmitaria
-13.726331,-59.2525945,Império distribuidora
-13.1934224,-60.8111704,Premium Beer Distribuidora
-12.7158411,-60.1341717,RS BAR & DISTRIBUIDORA
-12.7303452,-60.1316761,Espetinho E Distribuidora Werneck Porções E Bebidas
-13.1964153,-60.8231898,DISTRIBUIDORA HAPPY HOUR
-12.7385162,-60.1047074,Distribuidora Xirú
-13.1929469,-60.8311038,Distribuidora de bebidas Ribeiro
-12.7366299,-60.112105,Paiol Distribuidora
-12.7289633,-60.1361788,Conveniência e distribuidora Sousa
-12.7397789,-60.1259499,Distribuidora Zanardi
-12.2293438,-60.6876276,Sabá Distribuidora
-12.7357182,-60.1209858,Bohêmio's Distribuidora & Lanchonete
-12.7321646,-60.1372606,Distribuidora de Bebidas Tibes
-12.7426944,-60.1330935,Distribuidora Pague Menos
-12.7363344,-60.140442,Mr. Beer - Distribuidora de Bebidas
-13.1247385,-60.5403657,Distribuidora Almeida
-12.71325,-60.1533887,I&G DISTRIBUIDORA DE BEBIDAS
-12.7508233,-60.1020196,Distribuidora velasco's
-12.7443876,-60.1224016,VIANORTE DISTRIBUIDORA
-12.7324249,-60.145868,Barba Distribuidora de Bebidas
-12.731105,-60.1124953,Distribuidora de bebidas esperança
-12.7356062,-60.1215233,Distribuidora de Bebidas TikTok
-12.7274403,-60.1433287,Empório Distribuidora
-13.1888244,-60.8241151,DISTRIBUIDORA de Bebidas GASPARETTO
-12.7375264,-60.1475577,Ze Beer conveniência e distribuidora
-12.7151671,-60.1312432,Distribuidora Abaixo de Zero
-12.7274267,-60.1214864,Distribuidora L.B
-12.7259929,-60.1245811,MERCADO E DISTRIBUIDORA Skinao
-12.7422487,-60.1299145,Líder Distribuidora de Bebidas
-12.9989525,-60.938023,Distribuidora carlos
-12.5538882,-60.9026316,Distribuidora Ramires
-12.7287904,-60.1141423,distribuidora do leo
-12.7241093,-60.1360273,Distribuidora Brizolla
-12.743787,-60.1425253,Império Distribuidora
-12.7179119,-60.123018,Stop Distribuidora
-12.7381939,-60.1524835,Distribuidora Kramer Lind'Agua
-12.7480188,-60.1225882,DALLAS Distribuidora Lind'Água
-12.7287308,-60.0963402,Distribuidora RIBEIRO
-12.5558514,-60.9008513,Master Distribuidora
-12.7344136,-60.1110488,R&R distribuidora
-13.1201434,-60.5404288,DISTRIBUIDORA ZAMPIERON
-12.7390832,-60.1190927,Distribuidora La casa de bebidas
-12.7442901,-60.1438362,RL Distribuidora
-12.5475413,-60.9028235,Distribuidora Magalhães
-12.7486609,-60.121394,Distribuidora e Conveniência 5º BEC
-12.7230886,-60.1401475,Distribuidora TEN DE TUDO
-12.742854,-60.1452087,ALFA DISTRIBUIDORA E CONVENIÊNCIA
-12.7157009,-60.1434945,Distribuidora JC
-12.7234261,-60.1388602,Distribuidora Rondônia
-12.7407699,-60.1087115,Distribuidora & Mercearia B.P
-12.7174769,-60.143881,Prime Distribuidora
-12.7316208,-60.1447306,Distribuidora Dhielvis
-12.736665,-60.1077491,Mercado E Distribuidora Luana
-12.7561521,-60.0957604,DBA DISTRIBUIDORA DE BEBIDAS AMAZONIA LTDA
-12.7292366,-60.1259731,Distribuidora Glauber
-3.1266965,-59.9956368,Fenix Distribuidora De alimentos Manaus
-29.6363222,-51.4039215,Distribuidora de alimentos
-23.5498475,-46.5840549,Armazem 01 Distribuidora de Bebidas
-17.5352549,-39.7416503,Distribuidora de Bebidas zilei
-22.3093444,-46.3215701,Distribuidora JS
-25.6609547,-49.3035197,Kaw White Distribuidora
-29.7079009,-52.444562,Difesta Distribuidora de Bebidas
-19.8621259,-43.9458011,Distribuidora Rodrigues
-17.757672,-48.6151517,Super London Distribuidora de Bebidas
-16.7150705,-49.3680054,point beer distribuidora
-24.1804674,-46.8210373,BRASFORT DISTRIBUIDORA DE BEBIDAS EM GERAL
-25.4063388,-49.2069019,Distribuidora e Comércio de bebidas Integração
-16.6489625,-49.1485152,Distribuidora Estrela do Sul
-19.5814432,-43.915786,"Distribuidora,Adega e Açaiteria Gelada Delivery"
-12.2536092,-38.9622313,POP DISTRIBUIDORA DE ALIMENTOS
-25.5372091,-49.1522592,Distribuidora Nova Geração - São José dos Pinhais
-23.2880746,-45.9694874,SANTA AMELIA DISTRIBUIDORA PET
-29.9329265,-51.1042019,MT Distribuidora
-26.278938,-48.8633515,Diversitá Distribuidora de Alimentos
-7.1928028,-34.9038946,Riograndense Distribuidora
-5.9938754,-35.261524,Riograndense Distribuidora Ltda
-22.5255657,-55.7135395,Distribuidora de Alimentos
-21.1860678,-47.8371721,Mercantil Distribuidora de Bebidas
-27.6172573,-48.6481502,Nutrifrios Distribuidora de Alimentos Congelados e Secos
-19.8685704,-43.999461,Fast Distribuidora
-3.8727646,-38.4874802,D'Origem Distribuidora
0.0463132,-51.0545137,Distribuidora Carvalho
-26.8531433,-49.0352978,2R Distribuidora de Alimentos
-22.2458234,-42.5200861,CCN Distribuidora
-8.161795,-34.9446087,Focus Distribuidora
-29.6765209,-51.120302,VALE MAIS BRASIL DISTRIBUIDORA DE ALIMENTOS
-5.0651764,-42.7694198,Mix Distribuidora
-14.4597481,-56.8462841,Mercado & Distribuidora Lima
-27.3358919,-53.0462833,Vandal Distribuidora de Alimentos
-5.7969631,-35.2157757,Mix Distribuidora
-23.1628932,-46.9528083,LG Distribuidora
-20.336379,-40.3898885,Lube Distribuidora
-21.4158214,-45.9682042,Distribuidora de Prod. Alimentícios Pazotti
-23.0021017,-43.6342453,Jcat Distribuidora
-7.2903957,-39.3184776,DSA - Distribuidora Sorriso de Alimentos
-16.6917656,-49.3155854,R W Distribuidora de Bebidas e Alimentos
-23.544207,-46.6156466,Distribuidora de Produtos Alimentícios
-23.50563,-46.448988,Distribuidora Caue
-5.356794,-49.0888602,Distribuidora Tocantins
-22.7575435,-43.3127846,Distribuidora De Alimentos
-8.0358207,-34.930969,EBA Distribuidora
-5.8221497,-35.2302465,Distribuidora de Alimentos
-26.4693145,-48.959114,Dequech - Distribuidora de confiança
-23.6621204,-46.5218655,Nesvig Distribuidora De Produtos Alimenticios Ltda
-22.5691844,-42.3953802,Distribuidora de alimentos
-22.9489716,-47.0543606,Brasil Food Services Distribuidora - Distribuímos Produtos Diferenciados
-20.8553485,-49.371067,SOMAR Distribuidora
-12.8961519,-38.3326925,Lutan Distribuidora
-8.7608294,-63.8957585,Distribuidora de Morangos N.O
,,Distribuidora Joaquim
-3.0752603,-60.0578779,DISTRIBUIDORA MERC.NALDO
-4.0920852,-63.1396729,Distribuidora Naiely 2
-3.7835163,-38.47783,Petisco Distribuidora de Alimentos
-23.5519167,-46.530667,door distribuidora de alimentos
-25.5713076,-49.1722362,STAMPA FOOD DISTRIBUIDORA DE ALIMENTOS LTDA
-20.7283734,-47.7534834,ALIMENTAR DISTRIBUIDORA DE ALIMENTOS
-23.6499736,-46.7326035,Tiba Distribuidora / Comercial de Alimentos Tiba
-22.8370769,-43.3398712,Dois Irmãos Distribuidora de Alimentos
